id,project_id,license
1,254,CC0 1.0
2,255,CC0 1.0
3,256,CC0 1.0
4,257,CC0 1.0
5,258,CC0 1.0
6,259,CC0 1.0
7,260,CC0 1.0
8,261,CC0 1.0
9,262,CC0 1.0
10,263,CC0 1.0
11,264,CC0 1.0
12,265,CC0 1.0
13,266,CC0 1.0
14,267,CC0 1.0
15,268,CC0 1.0
16,269,CC0 1.0
17,270,CC0 1.0
18,271,CC0 1.0
19,272,CC0 1.0
20,273,CC0 1.0
21,274,CC0 1.0
22,275,CC0 1.0
23,276,CC0 1.0
24,277,CC0 1.0
25,278,CC0 1.0
26,279,CC0 1.0
27,280,CC0 1.0
28,281,CC0 1.0
29,282,CC0 1.0
30,283,CC0 1.0
31,284,CC0 1.0
32,285,CC0 1.0
33,286,CC0 1.0
34,287,CC BY 4.0
35,288,CC BY 4.0
36,289,CC BY 4.0
37,290,CC0 1.0
38,291,CC0 1.0
39,292,CC BY 4.0
40,293,CC BY 4.0
41,294,CC BY 4.0
42,295,CC BY 4.0
43,296,CC0 1.0
44,297,CC0 1.0
45,298,CC0 1.0
46,299,CC0 1.0
47,300,CC0 1.0
48,301,CC0 1.0
49,302,CC0 1.0
50,303,CC0 1.0
51,304,CC0 1.0
52,305,CC0 1.0
53,306,CC0 1.0
54,307,CC0 1.0
55,308,CC0 1.0
56,309,CC0 1.0
57,310,CC0 1.0
58,311,CC0 1.0
59,312,CC0 1.0
60,313,CC0 1.0
61,314,CC0 1.0
62,315,CC0 1.0
63,316,CC0 1.0
64,317,CC0 1.0
65,318,CC0 1.0
66,319,CC0 1.0
67,320,CC0 1.0
68,321,CC0 1.0
69,322,CC0 1.0
70,323,CC0 1.0
71,324,CC0 1.0
72,325,CC0 1.0
73,326,CC0 1.0
74,327,CC0 1.0
75,328,CC0 1.0
76,329,CC0 1.0
77,330,CC0 1.0
78,331,CC0 1.0
79,332,CC0 1.0
80,333,CC0 1.0
81,334,CC0 1.0
82,335,CC0 1.0
83,336,CC0 1.0
84,337,CC0 1.0
85,338,CC0 1.0
86,339,CC0 1.0
87,340,CC0 1.0
88,341,CC0 1.0
89,342,CC0 1.0
90,343,CC0 1.0
91,344,CC0 1.0
92,345,CC0 1.0
93,346,CC0 1.0
