id,project_id,name,role
1,1,Primary investigators Name Affiliation TIMSS & PIRLS International Study Center Boston College,AUTHOR
2,2,Primary investigators Name Affiliation TIMSS & PIRLS International Study Center Boston College,AUTHOR
3,3,Primary investigators Name Affiliation TIMSS & PIRLS International Study Center Boston College,AUTHOR
4,4,Primary investigators Name Affiliation TIMSS International Study Center Boston College,AUTHOR
5,5,Primary investigators Name Affiliation TIMSS International Study Center Boston College,AUTHOR
6,6,Primary investigators Name Affiliation UCT Student Administration University of Cape Town,AUTHOR
7,7,Primary investigators Name University of Cape Town,AUTHOR
8,8,Primary investigators Name Affiliation TIMSS & PIRLS International Study Center Boston College,AUTHOR
9,9,Primary investigators Name Cape Higher Education Consortium,AUTHOR
10,10,Primary investigators Name Human Sciences Research Council,AUTHOR
11,11,Primary investigators Name Human Sciences Research Council,AUTHOR
12,12,Primary investigators Name Affiliation Research on Open Educational Resources for Development (ROER4D) University of Cape Town,AUTHOR
13,13,Primary investigators Name Human Sciences Research Council,AUTHOR
14,14,Primary investigators Name World Values Survey Association,AUTHOR
15,15,Primary investigators Name Affiliation International Association for Educational Attainment International Study Centre Boston College,AUTHOR
16,16,Primary investigators Name University of Cape Town University of Michigan,AUTHOR
17,17,Primary investigators Name Affiliation Research on Socio-Economic Policy (RESEP) Stellenbosch University,AUTHOR
18,18,Primary investigators Name Affiliation Department of Basic Education Government of South Africa,AUTHOR
19,19,Primary investigators Name Statistics South Africa,AUTHOR
20,20,Primary investigators Name Human Sciences Research Council,AUTHOR
21,21,Primary investigators Name University of Cape Town University of Michigan Princeton University,AUTHOR
22,22,Primary investigators Name Statistics South Africa,AUTHOR
23,23,"Primary investigators Name Affiliation Institute of Statistical, Social and Economic Research University of Ghana",AUTHOR
24,24,Primary investigators Name Affiliation DataDrive2030 Department of Basic Education Government of South Africa,AUTHOR
25,25,Primary investigators Name DataDrive2030,AUTHOR
26,26,Primary investigators Name Human Sciences Research Council,AUTHOR
27,27,Primary investigators Name South African Audience Research Foundation (SAARF),AUTHOR
28,28,Primary investigators Name South African Audience Research Foundation (SAARF),AUTHOR
29,29,Primary investigators Name South African Audience Research Foundation (SAARF),AUTHOR
30,30,Primary investigators Name South African Audience Research Foundation (SAARF),AUTHOR
31,31,Primary investigators Name South African Audience Research Foundation (SAARF),AUTHOR
32,32,Primary investigators Name Affiliation Department of Political Science of Political Science Michigan State University,AUTHOR
33,33,Primary investigators Name Human Sciences Research Council,AUTHOR
34,34,Primary investigators Name Human Sciences Research Council,AUTHOR
35,35,Primary investigators Name Human Sciences Research Council,AUTHOR
36,36,Primary investigators Name Human Sciences Research Council,AUTHOR
37,37,Primary investigators Name Affiliation Centre for Social Science Research University of Cape Town,AUTHOR
38,38,Primary investigators Name Human Sciences Research Council,AUTHOR
39,39,Primary investigators Name Human Sciences Research Council,AUTHOR
40,40,Primary investigators Name Human Sciences Research Council,AUTHOR
41,41,Primary investigators Name Human Sciences Research Council,AUTHOR
42,42,Primary investigators Name Human Sciences Research Council,AUTHOR
43,43,Primary investigators Name Human Sciences Research Council,AUTHOR
44,44,Primary investigators Name Human Sciences Research Council,AUTHOR
45,45,Primary investigators Name Human Sciences Research Council,AUTHOR
46,46,Primary investigators Name Human Sciences Research Council,AUTHOR
47,47,Primary investigators Name Human Sciences Research Council,AUTHOR
48,48,Primary investigators Name Affiliation Human Sciences Research Council Government of South Africa,AUTHOR
49,49,Primary investigators Name Human Sciences Research Council (HSRC),AUTHOR
50,50,Primary investigators Name Human Sciences Research Council (HSRC),AUTHOR
51,51,Primary investigators Name Affiliation Centre for Social Science Research University of Cape Town Institute for Communities and Wildlife University of Cape Town,AUTHOR
52,52,Primary investigators Name Affiliation Nic Rhoodie Human Sciences Research Council Chris de Kock Human Sciences Research Council,AUTHOR
53,53,Primary investigators Name Norwegian Institute for Applied Social Science (Fafo) South African Department of Labour,AUTHOR
54,54,"Primary investigators Name Affiliation Professor Donald Treiman University of California Los Angeles Sylvia N. Moano Strategic Planning Group, ESKOM Lawrence Schlemmer Centre for Policy Studies, School of Business, University of theWitwatersrand",AUTHOR
55,55,"Primary investigators Name Affiliation Sylvia Croese African Centre for Cities, University of Cape Town",AUTHOR
56,56,"Primary investigators Name Affiliation Professor Elona Toska Centre for Social Science Research, UCT Professor Lucie Cluver Oxford University",AUTHOR
57,57,"Primary investigators Name Affiliation Sylvia Croese African Centre for Cities, University of Cape Town",AUTHOR
58,58,Primary investigators Name Affiliation National Economic Development and Labour Council (NEDLAC) Government of South Africa,AUTHOR
59,59,Primary investigators Name Central Statistical Service (now Statistics South Africa),AUTHOR
