id,project_id,keyword
1,1,Vocabulary
2,2,Vocabulary
3,3,Vocabulary
4,4,Vocabulary
5,5,Vocabulary
6,8,Vocabulary
7,10,Vocabulary
8,11,Vocabulary
9,12,Keywords Access Infrastructure Instructor attitudes OER
10,13,Vocabulary
11,14,Vocabulary
12,16,Vocabulary
13,17,Keywords School leadership School management Literacy School performance
14,18,Keywords Early childhood development Early learning centres
15,20,Vocabulary
16,21,Keywords Labour and Employment [3] Education [6] Health [8] Housing and Land Use Planning [10] Transport
17,21,Travel and Mobility [11] Demography and Population [14] Social Welfare Policy and Systems [15]
18,22,Keywords Household Services Income Expenditure
19,25,Keywords Early child development Early learning
20,26,Vocabulary
21,27,Keywords media goods ownership
22,28,Keywords media goods ownership
23,29,Keywords media goods ownership
24,30,Keywords media goods ownership
25,31,Keywords media goods ownership
26,33,Vocabulary
27,34,Vocabulary
28,35,Vocabulary
29,36,Vocabulary
30,38,Vocabulary
31,39,Vocabulary
32,40,Vocabulary
33,41,Vocabulary
34,42,Vocabulary
35,43,Vocabulary
36,44,Vocabulary
37,45,Vocabulary
38,46,Vocabulary
39,48,Vocabulary
40,49,Vocabulary
41,52,Vocabulary
42,53,Keywords labour employment wages occupation work
43,59,Vocabulary
44,62,Keywords agriculture consumption demography education expenditure fertility health housing income land use literacy numeracy poverty
45,63,Keywords Fertility Migration Mortality
46,64,Keywords Niger public health
47,65,Keywords agriculture consumption demography education expenditure fertility health housing income land use literacy numeracy poverty
48,71,Keywords housing family life and marriage gender and gender roles censuses migration religion and values employment unemployment Education
49,73,Vocabulary
50,75,Keywords civic participation democracy elections mass media political attitudes voting behaviour
51,76,Keywords civic participation democracy elections mass media political attitudes Political parties Values Voting behaviour
52,79,Keywords Agriculture Shocks Demography Intra-household allocation Health Education Migration Remittances Integration Credit Assets Social networks Social cohesion
53,82,Keywords electrical household load data domestic electrification power quality electricity consumption energy rural residential appliance
54,84,Keywords income expenditure
55,85,Keywords labour market employment income informal sector
56,87,Vocabulary
57,92,Keywords current voltage power real reactive frequency South Africa rural electrification power quality load data time-of-use electrical household consumption energy electricity domestic residential
58,93,Keywords electrical household load data domestic electrification power quality electricity consumption energy rural residential appliance
59,94,Social Sciences
60,94,learning strategies
61,94,physics education
62,94,digital teaching
63,94,digitalization
64,94,Covid-19
65,94,Remote teaching
66,94,Semi-structured interviews
67,94,learning strategies physics education digital teaching digitalization Covid-19 (Human Disease Ontology) http://purl.obolibrary.org/obo/DOID_0080600 Remote teaching Semi-structured interviews
68,95,Social Sciences
69,95,learning strategies
70,95,physics education
71,95,digital teaching
72,95,digitalization
73,95,Covid-19
74,95,Remote teaching
75,95,Semi-structured interviews
76,95,learning strategies physics education digital teaching digitalization Covid-19 (Human Disease Ontology) http://purl.obolibrary.org/obo/DOID_0080600 Remote teaching Semi-structured interviews
77,96,Social Sciences
78,96,learning strategies
79,96,physics education
80,96,digital teaching
81,96,digitalization
82,96,Covid-19
83,96,Remote teaching
84,96,Semi-structured interviews
85,96,learning strategies physics education digital teaching digitalization Covid-19 (Human Disease Ontology) http://purl.obolibrary.org/obo/DOID_0080600 Remote teaching Semi-structured interviews
86,97,Social Sciences
87,97,learning strategies
88,97,physics education
89,97,digital teaching
90,97,digitalization
91,97,Covid-19
92,97,Remote teaching
93,97,Semi-structured interviews
94,97,learning strategies physics education digital teaching digitalization Covid-19 (Human Disease Ontology) http://purl.obolibrary.org/obo/DOID_0080600 Remote teaching Semi-structured interviews
95,98,Social Sciences
96,98,learning strategies
97,98,physics education
98,98,digital teaching
99,98,digitalization
100,98,Covid-19
101,98,Remote teaching
102,98,Semi-structured interviews
103,98,learning strategies physics education digital teaching digitalization Covid-19 (Human Disease Ontology) http://purl.obolibrary.org/obo/DOID_0080600 Remote teaching Semi-structured interviews
104,99,Social Sciences
105,99,learning strategies
106,99,physics education
107,99,digital teaching
108,99,digitalization
109,99,Covid-19
110,99,Remote teaching
111,99,Semi-structured interviews
112,99,learning strategies physics education digital teaching digitalization Covid-19 (Human Disease Ontology) http://purl.obolibrary.org/obo/DOID_0080600 Remote teaching Semi-structured interviews
113,100,Other
114,100,AI
115,100,ChatGPT
116,100,Technology acceptance
117,100,Students' perceived usefulness of chatbots
118,100,Students use of chatbots
119,100,Large Language Models (LLMs)
120,100,Accounting education
121,100,AI ChatGPT Technology acceptance Students' perceived usefulness of chatbots Students use of chatbots Large Language Models (LLMs) Accounting education
122,101,Other
123,101,AI
124,101,ChatGPT
125,101,Technology acceptance
126,101,Students' perceived usefulness of chatbots
127,101,Students use of chatbots
